Enrolled_ID,Name,Date,Year,Branch,Total no.of Lec,Lec_Attended_Percentage,M1,CP,BEE,M3,Logic_Design,DMS,DS,DBA,OS,OOPs,M4,LMS
1,Trisha Sanders,2021-02-01,1,IT,3,33.33,0.0,0.0,1.0,,,,,,,,,
2,Sarah Newborn,2021-02-01,1,IT,3,33.33,1.0,0.0,0.0,,,,,,,,,
3,Shantel Townsend,2021-02-01,1,IT,3,66.67,0.0,1.0,1.0,,,,,,,,,
4,Patricia Mann,2021-02-01,1,IT,3,33.33,0.0,0.0,1.0,,,,,,,,,
5,Clara Cooper,2021-02-01,1,IT,3,100.0,1.0,1.0,1.0,,,,,,,,,
6,Helen Brandes,2021-02-01,1,IT,3,33.33,1.0,0.0,0.0,,,,,,,,,
7,Francisco Borthwick,2021-02-01,1,IT,3,66.67,1.0,0.0,1.0,,,,,,,,,
8,Judy Jackson,2021-02-01,1,IT,3,66.67,1.0,0.0,1.0,,,,,,,,,
9,Nancy Castelli,2021-02-01,1,IT,3,33.33,0.0,1.0,0.0,,,,,,,,,
10,Timothy Murray,2021-02-01,1,IT,3,33.33,0.0,1.0,0.0,,,,,,,,,
11,Annie Rudisill,2021-02-01,1,IT,3,33.33,1.0,0.0,0.0,,,,,,,,,
12,Edith Padilla,2021-02-01,1,IT,3,33.33,1.0,0.0,0.0,,,,,,,,,
13,Clara Farias,2021-02-01,1,IT,3,33.33,0.0,0.0,1.0,,,,,,,,,
14,Helen Grant,2021-02-01,1,IT,3,100.0,1.0,1.0,1.0,,,,,,,,,
15,Robert Sperrey,2021-02-01,1,IT,3,66.67,1.0,1.0,0.0,,,,,,,,,
16,David Jauch,2021-02-01,1,IT,3,66.67,0.0,1.0,1.0,,,,,,,,,
17,Lorri Thompson,2021-02-01,1,IT,3,66.67,1.0,1.0,0.0,,,,,,,,,
18,Michael Gray,2021-02-01,1,IT,3,33.33,0.0,1.0,0.0,,,,,,,,,
19,Bernard Pool,2021-02-01,1,IT,3,100.0,1.0,1.0,1.0,,,,,,,,,
20,Aurelio Khoury,2021-02-01,1,IT,3,33.33,0.0,0.0,1.0,,,,,,,,,
21,Dwayne Rodriguez,2021-02-01,1,IT,3,66.67,0.0,1.0,1.0,,,,,,,,,
22,Frederick Bryan,2021-02-01,1,IT,3,66.67,1.0,1.0,0.0,,,,,,,,,
23,Maureen Mcgee,2021-02-01,1,IT,3,0.0,0.0,0.0,0.0,,,,,,,,,
24,Deloris Callan,2021-02-01,1,IT,3,33.33,0.0,1.0,0.0,,,,,,,,,
25,Eli Sorbo,2021-02-01,1,IT,3,33.33,1.0,0.0,0.0,,,,,,,,,
26,Kathleen Barnes,2021-02-01,1,IT,3,0.0,0.0,0.0,0.0,,,,,,,,,
27,Ray Gardner,2021-02-01,1,IT,3,100.0,1.0,1.0,1.0,,,,,,,,,
28,Brenda Loza,2021-02-01,1,IT,3,66.67,0.0,1.0,1.0,,,,,,,,,
