Enrolled_ID,Name,Date,Year,Branch,Total no.of Lec,Lec_Attended_Percentage,M1,CP,BEE,DBR,DSA,M3,OOPs,DESIGN,WEB,DMS,LLE,DIGITAL
1,Thomas Moon,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
2,Timothy Frey,2021-02-01,1,COMPS,3,100.0,1.0,1.0,1.0,,,,,,,,,
3,John Neal,2021-02-01,1,COMPS,3,33.33,0.0,1.0,0.0,,,,,,,,,
4,Nellie Gomez,2021-02-01,1,COMPS,3,33.33,1.0,0.0,0.0,,,,,,,,,
5,Robin Trilli,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
6,Troy Johnston,2021-02-01,1,COMPS,3,100.0,1.0,1.0,1.0,,,,,,,,,
7,Helen Booker,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
8,Eric Jordan,2021-02-01,1,COMPS,3,33.33,0.0,1.0,0.0,,,,,,,,,
9,Natalie Lopez,2021-02-01,1,COMPS,3,33.33,0.0,1.0,0.0,,,,,,,,,
10,John Watson,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
11,Anthony Broome,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
12,Sharon Bunn,2021-02-01,1,COMPS,3,0.0,0.0,0.0,0.0,,,,,,,,,
13,Kathy George,2021-02-01,1,COMPS,3,33.33,0.0,1.0,0.0,,,,,,,,,
14,Stephanie Mosher,2021-02-01,1,COMPS,3,0.0,0.0,0.0,0.0,,,,,,,,,
15,Helga Gartner,2021-02-01,1,COMPS,3,100.0,1.0,1.0,1.0,,,,,,,,,
16,Joseph Troutman,2021-02-01,1,COMPS,3,33.33,1.0,0.0,0.0,,,,,,,,,
17,Mildred Torres,2021-02-01,1,COMPS,3,66.67,0.0,1.0,1.0,,,,,,,,,
18,Elizabeth Polhemus,2021-02-01,1,COMPS,3,33.33,0.0,1.0,0.0,,,,,,,,,
19,Monique Harrison,2021-02-01,1,COMPS,3,100.0,1.0,1.0,1.0,,,,,,,,,
20,Myrtle Turek,2021-02-01,1,COMPS,3,0.0,0.0,0.0,0.0,,,,,,,,,
21,John Hollenbeck,2021-02-01,1,COMPS,3,33.33,1.0,0.0,0.0,,,,,,,,,
22,Joyce Wagner,2021-02-01,1,COMPS,3,66.67,0.0,1.0,1.0,,,,,,,,,
23,Matthew Logan,2021-02-01,1,COMPS,3,66.67,0.0,1.0,1.0,,,,,,,,,
24,Cory Laflamme,2021-02-01,1,COMPS,3,66.67,1.0,1.0,0.0,,,,,,,,,
25,Brian Burkett,2021-02-01,1,COMPS,3,33.33,0.0,0.0,1.0,,,,,,,,,
