Enrolled_ID,Name,Date,Year,Branch,Total no.of Lec,Lec_Attended_Percentage,M1,CP,BEE,VSLI,EV,Robotics,SAP,MBS,PLE,ELE,FYP,MME
1,Christopher Smith,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
2,Lou Nero,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
3,Vera Messina,2021-02-01,1,EXTC,3,66.67,0.0,1.0,1.0,,,,,,,,,
4,Merna Dore,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
5,David Fairley,2021-02-01,1,EXTC,3,66.67,1.0,0.0,1.0,,,,,,,,,
6,Pamela Franco,2021-02-01,1,EXTC,3,33.33,1.0,0.0,0.0,,,,,,,,,
7,Randal Fenn,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
8,John Medeiros,2021-02-01,1,EXTC,3,66.67,0.0,1.0,1.0,,,,,,,,,
9,Annie Locke,2021-02-01,1,EXTC,3,66.67,0.0,1.0,1.0,,,,,,,,,
10,Matthew Sutton,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
11,Jeremy Davis,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
12,Scott Doucet,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
13,Horace Wessner,2021-02-01,1,EXTC,3,66.67,1.0,0.0,1.0,,,,,,,,,
14,Deborah Santana,2021-02-01,1,EXTC,3,100.0,1.0,1.0,1.0,,,,,,,,,
15,Kathy King,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
16,Rose Smiley,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
17,Daniel Kess,2021-02-01,1,EXTC,3,33.33,1.0,0.0,0.0,,,,,,,,,
18,Troy Richard,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
19,Gabriel Mccullough,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
20,Shirley Mccarty,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
21,Peggy Garrard,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
22,Margaret Berens,2021-02-01,1,EXTC,3,33.33,1.0,0.0,0.0,,,,,,,,,
23,Ronald Schafer,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
24,Willie Hutton,2021-02-01,1,EXTC,3,33.33,0.0,1.0,0.0,,,,,,,,,
25,Bradley Todd,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
26,Alice Dean,2021-02-01,1,EXTC,3,66.67,1.0,0.0,1.0,,,,,,,,,
27,Scott Glenn,2021-02-01,1,EXTC,3,66.67,1.0,0.0,1.0,,,,,,,,,
28,Jennifer Kane,2021-02-01,1,EXTC,3,33.33,0.0,1.0,0.0,,,,,,,,,
29,Carol Mckernan,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
30,Gregory Cornett,2021-02-01,1,EXTC,3,33.33,0.0,1.0,0.0,,,,,,,,,
31,Clyde Sturgill,2021-02-01,1,EXTC,3,100.0,1.0,1.0,1.0,,,,,,,,,
32,Amy White,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
33,Richard Purinton,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
34,Holly Nichols,2021-02-01,1,EXTC,3,33.33,0.0,0.0,1.0,,,,,,,,,
35,Pamela Stone,2021-02-01,1,EXTC,3,66.67,1.0,1.0,0.0,,,,,,,,,
36,Dave Riveron,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
37,Richard Chaney,2021-02-01,1,EXTC,3,33.33,1.0,0.0,0.0,,,,,,,,,
38,Julie Hampton,2021-02-01,1,EXTC,3,0.0,0.0,0.0,0.0,,,,,,,,,
39,Carol Tye,2021-02-01,1,EXTC,3,100.0,1.0,1.0,1.0,,,,,,,,,
