Enrolled_ID,Name,Date,Year,Branch,Total no.of Lec,Lec_Attended_Percentage,M1,CP,BEE,M3,SOM,THERMO,HT,DESIGN,MANU,MD,IE,PPE
1,Bernice Compton,2021-02-01,1,MECH,3,66.67,0.0,1.0,1.0,,,,,,,,,
2,Richard Welch,2021-02-01,1,MECH,3,33.33,0.0,0.0,1.0,,,,,,,,,
3,Carolyn Morton,2021-02-01,1,MECH,3,66.67,1.0,1.0,0.0,,,,,,,,,
4,Kay Caraballo,2021-02-01,1,MECH,3,33.33,0.0,1.0,0.0,,,,,,,,,
5,Ray Hatton,2021-02-01,1,MECH,3,66.67,1.0,0.0,1.0,,,,,,,,,
6,Robert Belair,2021-02-01,1,MECH,3,100.0,1.0,1.0,1.0,,,,,,,,,
7,Lisa Vaughn,2021-02-01,1,MECH,3,66.67,1.0,1.0,0.0,,,,,,,,,
8,Carolyn Cambre,2021-02-01,1,MECH,3,66.67,0.0,1.0,1.0,,,,,,,,,
9,Steve Marin,2021-02-01,1,MECH,3,66.67,0.0,1.0,1.0,,,,,,,,,
10,Juan Deal,2021-02-01,1,MECH,3,100.0,1.0,1.0,1.0,,,,,,,,,
11,Carol Manor,2021-02-01,1,MECH,3,33.33,0.0,1.0,0.0,,,,,,,,,
12,Joseph Flanders,2021-02-01,1,MECH,3,66.67,1.0,0.0,1.0,,,,,,,,,
13,Victoria Taylor,2021-02-01,1,MECH,3,66.67,1.0,0.0,1.0,,,,,,,,,
14,Linda Puryear,2021-02-01,1,MECH,3,66.67,0.0,1.0,1.0,,,,,,,,,
15,Cesar Thomas,2021-02-01,1,MECH,3,100.0,1.0,1.0,1.0,,,,,,,,,
16,Angela Kelly,2021-02-01,1,MECH,3,66.67,1.0,1.0,0.0,,,,,,,,,
17,Doris Costa,2021-02-01,1,MECH,3,66.67,1.0,0.0,1.0,,,,,,,,,
18,Heather Brooks,2021-02-01,1,MECH,3,66.67,0.0,1.0,1.0,,,,,,,,,
19,James Bird,2021-02-01,1,MECH,3,33.33,0.0,0.0,1.0,,,,,,,,,
20,Jean Davis,2021-02-01,1,MECH,3,66.67,1.0,0.0,1.0,,,,,,,,,
21,Leslie Mode,2021-02-01,1,MECH,3,66.67,1.0,1.0,0.0,,,,,,,,,
22,Humberto Ales,2021-02-01,1,MECH,3,33.33,0.0,1.0,0.0,,,,,,,,,
23,Geraldine Duncan,2021-02-01,1,MECH,3,33.33,0.0,1.0,0.0,,,,,,,,,
24,Teresa Bundy,2021-02-01,1,MECH,3,100.0,1.0,1.0,1.0,,,,,,,,,
25,Kristen Westbrook,2021-02-01,1,MECH,3,0.0,0.0,0.0,0.0,,,,,,,,,
26,Harry Kittell,2021-02-01,1,MECH,3,66.67,1.0,1.0,0.0,,,,,,,,,
27,Nichole Mccain,2021-02-01,1,MECH,3,100.0,1.0,1.0,1.0,,,,,,,,,
28,Kathleen Situ,2021-02-01,1,MECH,3,33.33,0.0,0.0,1.0,,,,,,,,,
